brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,spare_key,model_simple,car_age
Mahindra,Manual,2020,Diesel,7.513709247839705,11003.0,1st owner,14.023338217513945,10.06185788850757,No,Thar,5
Hyundai,Manual,2018,Petrol,7.3727463664043285,66936.0,1st owner,13.574713343675166,9.639522006701663,No,Verna,7
Tata,Manual,2022,Diesel,7.513709247839705,27990.0,1st owner,14.139404735705671,10.146918907547057,No,Harrier,3
Honda,Automatic,2023,Petrol,7.312553498102598,5061.0,1st owner,14.020083538688642,10.058609189403429,Yes,City,2
Ford,Manual,2021,Diesel,7.312553498102598,23480.0,1st owner,13.695601388686796,9.734121706902389,No,Ecosport,4
Honda,Manual,2021,Petrol,7.090076835776092,44787.0,1st owner,13.587355721107137,9.652587324176876,No,WR-V,4
Tata,Manual,2022,Petrol,7.090076835776092,450.0,1st owner,13.608487618541492,9.647045715820404,Yes,PUNCH,3
Tata,Automatic,2020,Diesel,7.088408778675395,59866.0,1st owner,13.498057700804253,9.563037414545692,No,NEXON,5
Mahindra,Automatic,2022,Diesel,7.513709247839705,62567.0,1st owner,14.139404735705671,10.146918907547057,No,XUV700,3
Ford,Automatic,2019,Petrol,7.311886164077165,58503.0,1st owner,13.548938754204904,9.614337736809313,No,Ecosport,6
Maruti,Manual,2018,Petrol,7.088408778675395,58159.0,1st owner,13.062615496138552,9.128913373280454,No,Dzire,7
Hyundai,Manual,2023,Petrol,7.088408778675395,15568.0,1st owner,13.442998001373553,9.508294505698569,No,GRAND,2
Tata,Manual,2023,Petrol,7.090076835776092,6676.0,1st owner,13.19189130572284,9.257319373170178,No,Tiago,2
Hyundai,Manual,2018,Petrol,7.088408778675395,59085.0,1st owner,13.620712694725297,9.65873724746786,No,Creta,7
Maruti,Manual,2018,Petrol,6.906754778648554,52966.0,1st owner,12.644330802262578,8.710949125835855,Yes,Alto,7
Hyundai,Manual,2020,Diesel,7.367077059881012,60592.0,1st owner,13.808486950076148,9.847023015555001,Yes,Verna,5
Maruti,Automatic,2014,Petrol,6.906754778648554,71297.0,1st owner,12.487488878546145,8.683046555502886,No,Alto,11
Honda,Manual,2022,Petrol,7.090076835776092,15935.0,1st owner,13.457407451830088,9.5227394469648,No,Amaze,3
KIA,Manual,2021,Diesel,7.309212365692763,71040.0,1st owner,13.795308871054397,9.833815879286808,No,SELTOS,4
